"Participant","Age","Gender","AttractivenessBias","BAIT","MIST","BRS","AttentionChecks"
"S314",19,"Woman",0.0636111111111112,4,0.5,2.2,1
"S315",19,"Woman",0.01,2.92857142857143,0.625,2.8,1
"S316",19,"Woman",0.0711111111111111,2.21428571428571,0.375,2.6,1
"S317",20,"Woman",0.0236111111111111,2.64285714285714,0.625,2.2,1
"S318",21,"Woman",-0.0333333333333334,3.07142857142857,0.5,1.8,1
"S319",20,"Woman",-0.00944444444444442,2,0.5,1.6,1
"S320",19,"Man",-0.00750000000000001,2.21428571428571,0.875,2.7,0.5
"S321",21,"Woman",0.0166666666666667,1.28571428571429,0.375,1.6,1
"S322",20,"Woman",0.0683333333333334,2,0.375,2.6,0.5
"S323",21,"Woman",0.0230555555555556,2.57142857142857,0.375,2.5,1
"S324",19,"Woman",0.03,2.85714285714286,0.75,3,1
"S325",19,"Woman",0.0602777777777778,1.28571428571429,0.25,4,1
"S326",19,"Woman",-0.0430555555555555,3.28571428571429,0.875,2,1
"S327",19,"Woman",-0.0558333333333333,2.78571428571429,0.5,2.3,1
"S328",20,"Woman",0.03,3.57142857142857,0.25,3.3,0
"S329",19,"Woman",0.126388888888889,1.92857142857143,0.5,1,1
"S330",19,"Man",0.0436111111111111,2.85714285714286,0.25,2.1,1
"S331",23,"Non-binary",0.112222222222222,3.28571428571429,0.375,2.8,1
"S332",19,"Woman",-0.111666666666667,1.64285714285714,0.625,2.8,1
"S333",20,"Woman",-0.0252777777777778,3.5,0.5,2.3,1
"S334",21,"Man",0.118888888888889,1.21428571428571,0.25,1.8,1
"S335",21,"Woman",-0.0191666666666667,2.21428571428571,0.375,2.8,1
"S336",19,"Man",0.144444444444444,2.92857142857143,0.5,2,1
"S337",20,"Man",-0.0636111111111111,1.35714285714286,0.5,1.8,1
"S338",19,"Woman",-0.0480555555555556,2.92857142857143,0.5,2.4,1
"S339",52,"Woman",0.0622222222222222,2.14285714285714,0.5,2,1
"S340",19,"Woman",0.12,2.71428571428571,0.5,1.8,0.5
"S341",20,"Woman",-0.01,2.35714285714286,0.5,1.2,1
"S342",26,"Woman",0.0183333333333333,1.78571428571429,0.5,2.1,1
"S343",19,"Woman",-0.0333333333333333,2.57142857142857,0.375,2.4,1
"S344",19,"Woman",0.000555555555555587,1.64285714285714,0.5,1.6,1
"S345",20,"Woman",0.276944444444444,1.64285714285714,0.375,3.2,0.5
